ClientID,ClientName,TargetCity,Industry,PanelType,CampaignType,StartDate,MessagesSent,DeliveryRate,OpenRate,ClickRate,ResponseRate,Conversions,Revenue,DatabaseSize,RepeatClient
CL00065,Client_65,Kolkata,IT Companies,Email Panel,Targeted,13-12-2024,43461,0.73,0.23,0.02,0.11,5,5175,18627,No
CL00066,Client_66,Bhubaneswar,Schools,Email Panel,Bulk Broadcast,01-04-2024,10485,0.95,0.3,0.1,0.05,3,5895,28743,Yes
CL00067,Client_67,Jaipur,Startups,Meta Verified API,Lead Nurturing,26-10-2024,22609,0.88,0.73,0.22,0.12,7,12215,27284,No
CL00068,Client_68,Delhi,Schools,Meta Verified API,Bulk Broadcast,26-03-2024,16781,0.92,0.72,0.29,0.07,12,12228,25702,Yes
CL00069,Client_69,Kolkata,Schools,SMS Panel,Lead Nurturing,09-12-2024,4852,0.8,,,0.14,6,7560,9603,No
CL00070,Client_70,Kolkata,Hotels,WhatsApp Panel,Lead Nurturing,04-10-2024,25599,0.92,0.69,0.06,0.14,24,10272,40854,No
CL00071,Client_71,Pune,Salons,Meta Verified API,Bulk Broadcast,11-01-2024,24005,0.79,0.66,0.12,0.01,32,61600,40883,Yes
CL00072,Client_72,Mumbai,IT Companies,WhatsApp Panel,Retargeting,27-08-2024,19132,0.98,0.85,0.21,0.1,11,17380,39672,No
CL00073,Client_73,Jaipur,Startups,Email Panel,Retargeting,11-06-2024,22148,0.8,0.56,0.18,0.12,20,6220,1956,No
CL00074,Client_74,Pune,Hospitals,Meta Verified API,Lead Nurturing,15-01-2024,29906,0.84,0.28,0.07,0.07,46,52486,45482,No
CL00075,Client_75,Delhi,Hospitals,SMS Panel,Targeted,07-08-2024,35255,0.74,,,0.12,35,58590,24567,No
CL00076,Client_76,Hyderabad,Salons,WhatsApp Panel,Lead Nurturing,03-03-2024,28741,0.9,0.31,0.1,0.11,2,2332,16680,No
CL00077,Client_77,Bhubaneswar,Schools,Meta Verified API,Lead Nurturing,14-08-2024,40171,0.99,0.52,0.09,0.12,66,26862,31785,Yes
CL00078,Client_78,Jaipur,Gyms,SMS Panel,Lead Nurturing,28-04-2024,22208,0.93,,,0.09,20,37060,43084,Yes
CL00079,Client_79,Bhubaneswar,Salons,WhatsApp Panel,Lead Nurturing,24-12-2024,39109,0.73,0.43,0.02,0.08,3,3753,25847,No
CL00080,Client_80,Ahmedabad,Gyms,WhatsApp Panel,Retargeting,14-02-2024,44161,0.73,0.5,0.16,0.09,69,69552,25511,No
CL00081,Client_81,Pune,Hotels,SMS Panel,Targeted,22-05-2024,28315,0.95,,,0.04,31,44113,46802,No
CL00082,Client_82,Pune,Startups,Meta Verified API,Retargeting,12-01-2024,23689,0.71,0.59,0.14,0.15,4,7364,15712,No
CL00083,Client_83,Bhubaneswar,IT Companies,WhatsApp Panel,Targeted,26-10-2024,49958,0.98,0.6,0.16,0.11,33,36465,19323,No
CL00084,Client_84,Kolkata,Hospitals,Email Panel,Lead Nurturing,21-10-2024,31908,0.96,0.55,0.15,0.05,10,14030,32033,No
CL00085,Client_85,Pune,Coaching Centers,WhatsApp Panel,Retargeting,28-05-2024,46912,0.8,0.52,0.04,0.15,67,121605,36894,No
CL00086,Client_86,Bhubaneswar,Schools,Meta Verified API,Lead Nurturing,17-04-2024,9293,0.9,0.36,0.13,0.13,15,13260,39567,No
CL00087,Client_87,Jaipur,Gyms,Email Panel,Lead Nurturing,01-07-2024,27548,0.88,0.48,0.18,0.13,0,0,2222,No
CL00088,Client_88,Bangalore,Salons,WhatsApp Panel,Bulk Broadcast,09-07-2024,34447,0.81,0.64,0.25,0.03,28,31024,4192,No
CL00089,Client_89,Pune,Salons,WhatsApp Panel,Lead Nurturing,25-01-2024,44492,0.78,0.26,0.09,0.12,79,69836,3814,No
CL00090,Client_90,Chennai,Startups,Meta Verified API,Bulk Broadcast,18-02-2024,22047,0.83,0.31,0.12,0.09,10,8260,42793,No
CL00091,Client_91,Delhi,Coaching Centers,SMS Panel,Retargeting,06-12-2024,47245,0.88,,,0.06,11,18425,42607,No
CL00092,Client_92,Bangalore,Schools,Meta Verified API,Bulk Broadcast,29-08-2024,44483,0.85,0.65,0.15,0.13,29,55651,40766,No
CL00093,Client_93,Bhubaneswar,Salons,Email Panel,Lead Nurturing,05-02-2024,38336,0.71,0.53,0.14,0.11,10,9840,46427,Yes
CL00094,Client_94,Pune,Real Estate,WhatsApp Panel,Targeted,15-12-2024,24221,0.7,0.36,0.09,0.06,22,15840,15845,No
CL00095,Client_95,Delhi,Gyms,SMS Panel,Bulk Broadcast,06-08-2024,6504,0.8,,,0.08,7,7560,42984,No
CL00096,Client_96,Chennai,Coaching Centers,WhatsApp Panel,Lead Nurturing,29-01-2024,34754,0.88,0.72,0.28,0.03,41,55186,23767,No
CL00097,Client_97,Bangalore,Real Estate,Email Panel,Retargeting,08-12-2024,18913,0.83,0.74,0.16,0.06,15,24915,616,No
CL00098,Client_98,Pune,Salons,WhatsApp Panel,Bulk Broadcast,16-09-2024,24948,0.72,0.27,0.03,0.03,7,6916,31444,No
CL00099,Client_99,Mumbai,Coaching Centers,WhatsApp Panel,Lead Nurturing,16-06-2024,3249,0.75,0.38,0.14,0.08,2,636,23017,No
CL00100,Client_100,Kolkata,Hotels,Email Panel,Retargeting,07-05-2024,49908,0.76,0.25,0.03,0.05,10,9070,31430,No
CL00101,Client_101,Pune,Startups,Email Panel,Bulk Broadcast,04-06-2024,11391,0.73,0.42,0.05,0.06,10,18010,2462,No
CL00102,Client_102,Mumbai,Hospitals,SMS Panel,Targeted,07-07-2024,27730,0.71,,,0.12,20,11100,12098,No
CL00103,Client_103,Kolkata,Schools,WhatsApp Panel,Targeted,01-05-2024,24138,0.95,0.81,0.06,0.05,33,52833,33565,Yes
CL00104,Client_104,Chennai,Salons,Email Panel,Bulk Broadcast,23-07-2024,18325,0.75,0.32,0.06,0.08,16,5008,35607,No
CL00105,Client_105,Pune,Startups,WhatsApp Panel,Retargeting,17-05-2024,35594,0.83,0.62,0.04,0.05,34,52904,1807,No
CL00106,Client_106,Hyderabad,Coaching Centers,Email Panel,Bulk Broadcast,24-06-2024,1175,0.83,0.51,0.07,0.05,0,0,34936,No
CL00107,Client_107,Ahmedabad,Coaching Centers,WhatsApp Panel,Bulk Broadcast,12-02-2024,2747,0.79,0.34,0.06,0.03,4,1804,15130,No
CL00108,Client_108,Delhi,Startups,SMS Panel,Retargeting,28-11-2024,34961,0.9,,,0.12,20,14040,12489,No
CL00109,Client_109,Ahmedabad,Real Estate,SMS Panel,Retargeting,14-04-2024,47795,0.86,,,0.09,64,64448,32884,No
CL00110,Client_110,Hyderabad,IT Companies,Meta Verified API,Bulk Broadcast,19-10-2024,20830,0.78,0.4,0.11,0.09,20,37340,26756,No
CL00111,Client_111,Pune,Hotels,Email Panel,Lead Nurturing,11-09-2024,26868,0.88,0.39,0.03,0.03,8,6880,44499,Yes
CL00112,Client_112,Bhubaneswar,Schools,WhatsApp Panel,Lead Nurturing,11-03-2024,35890,0.75,0.35,0.04,0.14,6,4236,43510,No
CL00113,Client_113,Mumbai,Real Estate,WhatsApp Panel,Bulk Broadcast,19-04-2024,39325,0.82,0.73,0.07,0.07,44,65120,34660,Yes
CL00114,Client_114,Ahmedabad,Startups,Email Panel,Retargeting,31-05-2024,6749,0.77,0.31,0.09,0.14,6,7026,14565,No
CL00115,Client_115,Chennai,Salons,Email Panel,Bulk Broadcast,23-11-2024,19374,0.78,0.59,0.07,0.06,13,16393,10196,No
CL00116,Client_116,Bangalore,Coaching Centers,WhatsApp Panel,Targeted,21-03-2024,23126,0.77,0.28,0.07,0.05,16,26720,44578,No
CL00117,Client_117,Pune,Hospitals,SMS Panel,Bulk Broadcast,07-04-2024,9438,0.84,,,0.08,1,439,12089,No
CL00118,Client_118,Kolkata,Salons,Meta Verified API,Retargeting,01-04-2024,48317,0.74,0.25,0.1,0.06,57,40413,46719,No
CL00119,Client_119,Delhi,Salons,SMS Panel,Targeted,21-06-2024,13894,0.92,,,0.09,9,6165,26272,No
CL00120,Client_120,Jaipur,Real Estate,Email Panel,Lead Nurturing,23-02-2024,4719,0.8,0.69,0.24,0.15,2,3124,48458,No
CL00121,Client_121,Bhubaneswar,Real Estate,Meta Verified API,Targeted,29-01-2024,37417,0.97,0.4,0.03,0.11,41,33169,49733,No
CL00122,Client_122,Hyderabad,Coaching Centers,WhatsApp Panel,Lead Nurturing,28-08-2024,14629,0.75,0.3,0.1,0.1,10,18680,5474,No
CL00123,Client_123,Bangalore,Coaching Centers,SMS Panel,Bulk Broadcast,13-12-2024,5684,0.95,,,0.06,6,2880,23528,No
CL00124,Client_124,Mumbai,Real Estate,WhatsApp Panel,Targeted,29-07-2024,49085,0.81,0.47,0.07,0.11,35,51240,4676,Yes
CL00125,Client_125,Jaipur,Startups,Email Panel,Targeted,08-12-2024,32196,0.81,0.51,0.19,0.1,11,19877,12640,No
CL00126,Client_126,Pune,Gyms,Email Panel,Targeted,12-04-2024,24612,0.88,0.44,0.04,0.12,24,35976,29236,No
CL00127,Client_127,Jaipur,Gyms,SMS Panel,Lead Nurturing,27-04-2024,16107,0.96,,,0.12,3,2073,48972,Yes
CL00128,Client_128,Delhi,Hotels,WhatsApp Panel,Lead Nurturing,04-03-2024,13835,0.77,0.57,0.04,0.09,21,21252,43159,No
CL00129,Client_129,Bangalore,IT Companies,Email Panel,Targeted,28-11-2024,39138,0.8,0.63,0.06,0.13,8,14528,7395,No
CL00130,Client_130,Ahmedabad,Startups,Email Panel,Targeted,16-04-2024,5739,0.93,0.36,0.05,0.11,7,12299,16699,No
CL00131,Client_131,Bangalore,Schools,Email Panel,Lead Nurturing,21-01-2024,16706,0.9,0.56,0.08,0.06,8,5720,7659,No
CL00132,Client_132,Pune,Real Estate,SMS Panel,Lead Nurturing,19-03-2024,14039,0.87,,,0.07,15,27375,27248,No
CL00133,Client_133,Bangalore,Salons,Email Panel,Retargeting,23-12-2024,22995,0.74,0.48,0.11,0.1,3,5670,10013,No
CL00134,Client_134,Hyderabad,Retail Shops,SMS Panel,Targeted,19-05-2024,21086,0.97,,,0.09,29,37526,18427,Yes
CL00135,Client_135,Chennai,Real Estate,WhatsApp Panel,Retargeting,11-10-2024,6692,0.91,0.36,0.09,0.09,6,9744,3496,No
CL00136,Client_136,Chennai,Coaching Centers,Email Panel,Retargeting,11-05-2024,46404,0.97,0.83,0.17,0.03,80,112560,34520,Yes
CL00137,Client_137,Mumbai,Gyms,Email Panel,Targeted,11-08-2024,31414,0.97,0.8,0.19,0.09,13,8580,40647,Yes
CL00138,Client_138,Hyderabad,Retail Shops,Meta Verified API,Retargeting,15-08-2024,1700,0.8,0.63,0.03,0.06,1,1457,4774,No
CL00139,Client_139,Bangalore,Retail Shops,Email Panel,Targeted,24-02-2024,46070,0.97,0.49,0.08,0.11,33,34155,31626,Yes
CL00140,Client_140,Mumbai,Hospitals,SMS Panel,Bulk Broadcast,15-04-2024,5753,0.74,,,0.03,4,7488,31843,No
CL00141,Client_141,Kolkata,IT Companies,SMS Panel,Bulk Broadcast,30-05-2024,9127,0.97,,,0.06,9,11853,18635,Yes
CL00142,Client_142,Mumbai,Schools,Meta Verified API,Lead Nurturing,28-03-2024,19449,0.7,0.49,0.06,0.14,5,8235,31259,No
CL00143,Client_143,Bhubaneswar,Hospitals,Email Panel,Retargeting,31-10-2024,10176,0.72,0.65,0.15,0.09,2,1654,27549,No
CL00144,Client_144,Delhi,Schools,Email Panel,Bulk Broadcast,18-04-2024,18051,0.76,0.64,0.08,0.04,2,1042,14389,Yes
CL00145,Client_145,Jaipur,Retail Shops,Email Panel,Lead Nurturing,07-06-2024,19562,0.86,0.29,0.09,0.07,15,24525,38138,No
CL00146,Client_146,Bangalore,Hotels,WhatsApp Panel,Targeted,07-11-2024,45576,0.82,0.52,0.05,0.04,77,80465,18489,No
CL00147,Client_147,Delhi,Real Estate,Email Panel,Lead Nurturing,14-02-2024,28988,0.78,0.54,0.1,0.01,10,5770,6802,Yes
CL00148,Client_148,Mumbai,Salons,SMS Panel,Bulk Broadcast,01-07-2024,12043,0.89,,,0.01,3,2100,36172,Yes
CL00149,Client_149,Bhubaneswar,Retail Shops,Email Panel,Retargeting,16-07-2024,35707,0.89,0.28,0.02,0.12,12,16368,37969,No
CL00150,Client_150,Chennai,Salons,Email Panel,Bulk Broadcast,13-08-2024,2027,0.77,0.28,0.04,0.11,4,6236,38415,Yes
CL00151,Client_151,Bhubaneswar,Retail Shops,Meta Verified API,Retargeting,08-02-2024,13754,0.82,0.57,0.07,0.05,10,16650,18483,Yes
CL00152,Client_152,Mumbai,Gyms,SMS Panel,Lead Nurturing,08-03-2024,13244,0.72,,,0.04,0,0,32003,No
CL00153,Client_153,Hyderabad,Hospitals,SMS Panel,Targeted,18-04-2024,8048,0.87,,,0.07,14,21784,7953,Yes
CL00154,Client_154,Jaipur,Gyms,WhatsApp Panel,Retargeting,18-11-2024,25456,0.8,0.36,0.07,0.09,12,23748,24983,No
CL00155,Client_155,Jaipur,Coaching Centers,WhatsApp Panel,Bulk Broadcast,07-03-2024,40555,0.82,0.52,0.11,0.05,64,107200,39057,Yes
CL00156,Client_156,Kolkata,Salons,Email Panel,Targeted,28-08-2024,35410,0.95,0.56,0.2,0.12,14,25410,15524,No
CL00157,Client_157,Mumbai,Real Estate,Meta Verified API,Bulk Broadcast,28-06-2024,18151,0.78,0.49,0.13,0.05,7,2653,15566,No
CL00158,Client_158,Pune,Retail Shops,WhatsApp Panel,Retargeting,25-06-2024,42132,0.99,0.61,0.07,0.05,6,9264,30947,No
CL00159,Client_159,Jaipur,Hospitals,SMS Panel,Targeted,10-11-2024,13769,0.73,,,0.09,6,11262,5513,No
CL00160,Client_160,Delhi,Real Estate,WhatsApp Panel,Lead Nurturing,24-02-2024,32129,0.89,0.71,0.09,0.01,12,12636,48359,Yes
CL00161,Client_161,Pune,Salons,Email Panel,Retargeting,30-12-2024,8302,0.95,0.63,0.16,0.1,5,9805,24425,Yes
CL00162,Client_162,Kolkata,Hotels,SMS Panel,Retargeting,23-04-2024,33193,0.82,,,0.06,18,34794,33702,No
CL00163,Client_163,Pune,Coaching Centers,Email Panel,Lead Nurturing,26-05-2024,29970,0.75,0.56,0.04,0.09,11,19250,15970,No
CL00164,Client_164,Hyderabad,Coaching Centers,Meta Verified API,Targeted,15-01-2024,6758,0.78,0.4,0.12,0.05,6,3918,22382,No
CL00165,Client_165,Bhubaneswar,Retail Shops,Email Panel,Bulk Broadcast,22-11-2024,12121,0.89,0.77,0.24,0.04,0,0,36740,No
CL00166,Client_166,Ahmedabad,Retail Shops,Meta Verified API,Retargeting,08-06-2024,35761,0.87,0.29,0.06,0.09,22,43648,18002,No
CL00167,Client_167,Hyderabad,Retail Shops,Meta Verified API,Targeted,08-02-2024,43225,0.73,0.25,0.08,0.08,35,45115,45053,No
CL00168,Client_168,Hyderabad,Gyms,Meta Verified API,Lead Nurturing,17-09-2024,6841,0.94,0.73,0.21,0.05,5,3255,4353,No
CL00169,Client_169,Delhi,IT Companies,Email Panel,Targeted,20-10-2024,6960,0.73,0.62,0.06,0.14,3,2706,7822,No
CL00170,Client_170,Jaipur,Hospitals,SMS Panel,Retargeting,07-07-2024,44169,0.86,,,0.13,50,72000,22018,No
CL00171,Client_171,Hyderabad,Retail Shops,SMS Panel,Lead Nurturing,05-06-2024,48337,0.76,,,0.15,60,52560,29104,Yes
CL00172,Client_172,Chennai,Coaching Centers,WhatsApp Panel,Lead Nurturing,21-07-2024,13434,0.97,0.4,0.1,0.14,2,1574,1857,No
CL00173,Client_173,Bangalore,Real Estate,WhatsApp Panel,Retargeting,25-11-2024,20882,0.79,0.68,0.27,0.14,20,16380,4394,Yes
CL00174,Client_174,Bangalore,Hotels,Meta Verified API,Lead Nurturing,14-06-2024,29722,0.94,0.46,0.16,0.02,23,14858,11057,Yes
CL00175,Client_175,Delhi,Startups,WhatsApp Panel,Lead Nurturing,11-10-2024,42806,0.73,0.25,0.07,0.06,45,36450,8670,No
CL00176,Client_176,Jaipur,Hotels,WhatsApp Panel,Targeted,28-01-2024,12049,0.86,0.67,0.11,0.1,17,16575,14715,No
CL00177,Client_177,Bhubaneswar,Real Estate,Meta Verified API,Bulk Broadcast,27-01-2024,46181,0.77,0.24,0.09,0.01,60,66000,4040,No
CL00178,Client_178,Kolkata,Salons,Email Panel,Lead Nurturing,23-11-2024,31180,0.82,0.48,0.13,0.13,53,37789,8386,Yes
CL00179,Client_179,Kolkata,Schools,Email Panel,Targeted,17-06-2024,10838,0.82,0.61,0.08,0.03,5,4985,18012,No
CL00180,Client_180,Hyderabad,Hospitals,SMS Panel,Bulk Broadcast,19-04-2024,47520,0.79,,,0.04,1,363,11740,No
CL00181,Client_181,Mumbai,Real Estate,Email Panel,Lead Nurturing,09-05-2024,18476,0.99,0.55,0.1,0.11,11,12199,31047,No
CL00182,Client_182,Chennai,Salons,Meta Verified API,Lead Nurturing,17-03-2024,23150,0.93,0.33,0.06,0.13,28,52612,3135,No
CL00183,Client_183,Hyderabad,Gyms,WhatsApp Panel,Targeted,27-10-2024,27191,0.77,0.67,0.19,0.1,18,20538,45012,No
CL00184,Client_184,Hyderabad,IT Companies,Email Panel,Targeted,20-06-2024,4816,0.75,0.32,0.04,0.12,0,0,17720,No
CL00185,Client_185,Hyderabad,IT Companies,WhatsApp Panel,Targeted,07-03-2024,11476,0.98,0.81,0.3,0.15,3,4866,12126,No
CL00186,Client_186,Mumbai,IT Companies,Email Panel,Targeted,08-12-2024,9399,0.92,0.66,0.07,0.12,2,2984,21896,No
CL00187,Client_187,Delhi,Schools,Email Panel,Retargeting,10-01-2024,49198,0.86,0.56,0.14,0.02,71,62267,1848,Yes
CL00188,Client_188,Pune,Schools,Email Panel,Retargeting,02-09-2024,28424,0.96,0.84,0.3,0.12,29,26680,15242,Yes
CL00189,Client_189,Jaipur,Retail Shops,Meta Verified API,Targeted,05-08-2024,4459,0.73,0.4,0.07,0.05,5,4825,31647,No
CL00190,Client_190,Delhi,Salons,Email Panel,Targeted,23-03-2024,9569,0.72,0.31,0.09,0.02,12,10596,47065,Yes
CL00191,Client_191,Hyderabad,Startups,SMS Panel,Targeted,26-08-2024,27954,0.84,,,0.09,36,16920,5707,No
CL00192,Client_192,Bhubaneswar,Retail Shops,WhatsApp Panel,Retargeting,04-04-2024,42052,0.86,0.4,0.14,0.12,32,59200,39727,No
